file,line,kind,tag,event,handler_calls,handler_ref,aria_label,control_type,disabled_expression,ga_button_id,status
"src/App.tsx","1271","component","Header","onOpenProfile","setActiveTab","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1271","component","Header","onOpenCreateStory","","openCreateStory","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1271","component","Header","onGoHome","setActiveTab","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1293","component","BalanceGameSection","onRequireLogin","blockedForGuest | setLoginPromptMessage","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1304","component","WeeklyTopBanner","onSelectStory","","openStoryDetail","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1315","dom","button","onClick","setSelectedCategory","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1331","dom","button","onClick","setSortBy","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1341","dom","button","onClick","setSortBy","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1363","dom","button","onClick","","openCreateStory","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onRequireAdultVerification","setIsAdultVerificationOpen","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onSelect","","openStoryDetail","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onVote","","handleVote","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onStartAIChatWithStory","","handleStartAIChatWithStory","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onReport","","handleReport","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onEdit","","handleEditStory","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onDelete","","handleDeleteStory","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onHide","","handleHideStory","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1372","component","StoryCard","onAppeal","setAppealTargetId","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onRequireLogin","blockedForGuest | setLoginPromptMessage","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onCrisisDetected","notifyIfCrisis","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onStartSession","['내 편 100%', '반반', '상대편 100%', '상대편 입장 100%'].includes | persona.description.includes | Date.now | new Date().toLocaleTimeString | new Date().toISOString | setActiveChatSession | setAiExplainSettingsStory","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onEndSession","setActiveChatSession","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onUpdateSession","","handleUpdateSession","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onOpenSettings","setIsExplainSettingsModalOpen","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onTogglePinPersona","","handleTogglePinPersona","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onDeletePersona","","handleDeletePersona","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onReportErrorPersona","","handleReportErrorPersona","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/App.tsx","1398","component","AIChatView","onGoToFeed","setActiveTab","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
